filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
iseygtvkb7.h5,0.4916173720239916,147.45489561722437,79559.39922286768,887987495418.8585,0.540776289893085,7512531114.492853,-1.051833075593683,-0.7219833256794985,0.6734508295473987,-1.0,1.87081,300.0,"0.000000e+00,6.907755e+00,8.191939e-01,0.000000e+00",5.18394e+25,16800.0,36.2389,36.2389,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,209,153,0.000813892,1.37345e-05,230000000000.0,0.826424,0.834022,6.4189e+40,0.826424,0.0125844,-0.0356896,-0.00354524,4.57916,-0.428985
w0zkij5nx5.h5,-0.8808845787245957,113.48602374054413,61184.071581880184,996085734333.0673,0.5201568848825435,6384405635.117886,-1.1078367838176835,-0.7943129398179402,0.5705340989437699,-1.0,1.47333,300.0,"0.000000e+00,6.907755e+00,6.304779e-01,0.000000e+00",5.18394e+25,16800.0,42.6424,42.6424,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,182,152,0.0023171,1.00463e-05,230000000000.0,0.6045,0.610973,4.6952e+40,0.6045,0.102014,-0.061301,0.000451656,19.6882,0.0747156
bb6cdgzyu2.h5,0.14882155227970695,27.87990331432248,80716.91838612041,936844286980.8848,0.40516918172532446,7929739064.414982,-1.1827048188260278,-0.6167233512669285,0.5498724209798888,-1.0,1.98886,300.0,"0.000000e+00,6.907755e+00,1.548884e-01,0.000000e+00",5.18394e+25,16800.0,34.3323,34.3323,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,209,163,0.000681998,1.59418e-05,230000000000.0,0.959236,0.962788,7.45046e+40,0.959236,0.0247242,0.0186946,-0.000806941,3.23136,-0.0841233
tbcq4ez1ln.h5,0.25693141217906,145.2146542711033,253354.0689770171,280152016081.3085,0.5929253845714451,7920989800.371696,-1.0010826238252737,-0.6336273486588408,0.712724092934264,-1.0,1.96643,300.0,"0.000000e+00,6.907755e+00,8.067481e-01,0.000000e+00",5.18394e+25,16800.0,34.3702,34.3702,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,209,171,0.000758427,9.35106e-06,230000000000.0,0.562665,0.588265,4.37026e+40,0.562665,-0.0305869,-0.118302,-0.0288553,21.7167,-5.12832
bm5hbbpv8f.h5,-0.7451494391945054,106.68060158835102,453681.45429394353,343375624966.5136,0.25156399689011655,5804078973.4657955,-1.065483276984485,-0.649876248076982,0.32145434443414467,1.0,1.6669,300.0,"0.000000e+00,6.907755e+00,5.926700e-01,0.000000e+00",5.18394e+25,16800.0,46.906,46.906,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,116,167,0.000852939,1.00897e-05,230000000000.0,0.607107,0.638104,4.71544e+40,0.607107,0.0838539,-0.0222854,0.000112916,14.2915,0.018599
lf0x7b5zk8.h5,-0.7345947855135702,30.489953596057255,5445281.029433285,130452310955.95348,0.18495299214559816,5035248347.970517,-1.124660958377808,-0.709498854214524,0.689157944221272,1.0,1.67851,300.0,"0.000000e+00,6.907755e+00,1.693886e-01,0.000000e+00",5.18394e+25,16800.0,54.0681,54.0681,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,141,131,0.000503247,1.00105e-05,230000000000.0,0.602346,0.624194,4.67847e+40,0.602346,-0.014192,-0.00749195,-0.0340965,2.66427,-5.66062
noncib11cu.h5,0.19745203668659927,144.96681587249836,112914.42546968363,999315053993.2539,0.5555994355305008,5171939199.540832,-1.0230460875231422,-0.8200193033751524,0.32042778222976853,1.0,1.98031,300.0,"0.000000e+00,6.907755e+00,8.053712e-01,0.000000e+00",5.18394e+25,16800.0,52.6391,52.6391,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,132,147,0.0010064,9.20846e-06,230000000000.0,0.554084,0.562686,4.30362e+40,0.554084,0.0321429,0.0104258,0.00138182,6.09862,0.249388
epp1m7xypj.h5,0.19429649163783047,153.15844991242216,244182.9334947773,469114009510.94684,0.5458254273170963,6262126244.524851,-1.1565873097523334,-0.7300814027576775,0.5544695147084943,1.0,1.98094,300.0,"0.000000e+00,6.907755e+00,8.508803e-01,0.000000e+00",5.18394e+25,16800.0,43.475,43.475,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,126,144,0.000869761,9.50854e-06,230000000000.0,0.572141,0.596024,4.44386e+40,0.572141,-0.00157709,0.003945,0.00343606,0.742571,0.600562
6z0nh4rcdu.h5,-0.6889888207201249,114.66367967489666,662218.8693722056,406952166311.26324,0.21239299271499715,5090728217.364475,-1.0390579489995302,-0.8371900252374496,0.5324392337557093,1.0,1.72477,300.0,"0.000000e+00,6.907755e+00,6.370204e-01,0.000000e+00",5.18394e+25,16800.0,53.4788,53.4788,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,126,143,0.00115558,9.22327e-06,230000000000.0,0.554975,0.602047,4.31053e+40,0.554975,0.0406252,-0.051676,0.0125202,11.8443,2.25599
tusm5zq2rl.h5,0.4553739404239747,28.235697173507774,228545.72392941435,944545962247.1057,0.22386778522652248,5015046586.449382,-1.0714409029850376,-0.8372345424770627,0.1563868858590508,-1.0,1.8903,300.0,"0.000000e+00,6.907755e+00,1.568650e-01,0.000000e+00",5.18394e+25,16800.0,54.2859,54.2859,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,186,178,0.000893215,9.48498e-06,230000000000.0,0.570723,0.583343,4.43285e+40,0.570723,0.0210272,-0.000458708,-0.000497609,3.6852,-0.0871894
lmy04uyt64.h5,-0.20056551259232325,137.51820102727635,1241371.5366172304,184593185813.05594,0.1645730318487235,7111395719.34905,-1.1594052164694788,-0.6473441374647299,0.6826892128576442,1.0,1.97968,300.0,"0.000000e+00,6.907755e+00,7.639900e-01,0.000000e+00",5.18394e+25,16800.0,38.2831,38.2831,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,113,159,0.000810036,9.15934e-06,230000000000.0,0.551129,0.595396,4.28066e+40,0.551129,-0.0153032,-0.0684468,-0.000848454,12.726,-0.153948
