filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,rotcam,xoff,yoff,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
1kdl98phk1.h5,0.08465181344616468,166.86141546171132,52655.30939481236,995069624619.375,0.7628177512221931,8522256766.25125,-1.3644089682886893,-0.5490910324648363,0.793773908389117,-1.0,252.81340604403547,17.56719240562812,-7.145214160240528,1.99641,300.0,"0.000000e+00,6.907755e+00,9.270079e-01,0.000000e+00",5.18394e+25,16800.0,31.9453,31.9453,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,159,216,0.000319872,1.01258e-05,230000000000.0,0.609282,0.608686,4.73234e+40,0.609282,-0.00143712,0.00534097,-0.00182469,0.907781,-0.299482
uqe3djbbcu.h5,-0.7706209148069525,110.69166144078302,53510.01574058076,723742153222.7319,0.615372920629064,8251445284.539706,-0.9201114990337914,-0.6754788786152937,0.03137891739927201,1.0,217.0853696856019,-1.2728110545831441,-8.734282987568065,1.63729,300.0,"0.000000e+00,6.907755e+00,6.149537e-01,0.000000e+00",5.18394e+25,16800.0,32.9938,32.9938,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,131,184,0.000516293,9.82785e-06,230000000000.0,0.591354,0.591636,4.59309e+40,0.591354,0.0215642,-0.16997,-0.00158732,28.9729,-0.268421
tunbqz1035.h5,-0.29263122356205007,43.06253621357006,32524.571533846658,878930502026.5547,0.7903802136793919,9272529545.003893,-0.9095255953719472,-0.6284534359643458,0.15670905888242304,1.0,323.4099942961128,-9.516595426045946,-30.54567532271929,1.95623,300.0,"0.000000e+00,6.907755e+00,2.392363e-01,0.000000e+00",5.18394e+25,16800.0,29.3605,29.3605,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,112,205,0.000306973,1.19672e-05,230000000000.0,0.72008,0.717766,5.59292e+40,0.72008,0.0326017,0.104407,-0.000210806,15.1898,-0.0292754
jcoulwts67.h5,-0.25646621987073404,147.20517289266414,2131538.298805398,154979838586.42545,0.14271031376726762,4997973345.850604,-1.0764116057810793,-0.5772326046460338,0.7798535409266173,1.0,195.04143226431657,10.962208421065078,-1.157891954721073,1.96655,300.0,"0.000000e+00,6.907755e+00,8.178065e-01,0.000000e+00",5.18394e+25,16800.0,54.4713,54.4713,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,177,146,0.000663155,9.04742e-06,230000000000.0,0.544394,0.591423,4.22835e+40,0.544394,-0.0489346,0.0127767,-0.0674529,9.29015,-12.3904
nqtmat2hdt.h5,0.1956335960865756,67.72008294113124,9994367.902548838,242448085929.52408,0.11728414588146778,3325902762.2276945,-1.0997159561961325,-0.9444094275563528,0.10410692506794261,1.0,89.09761127601125,31.708244703527647,8.922530553802687,1.98068,300.0,"0.000000e+00,6.907755e+00,3.762227e-01,0.000000e+00",5.18394e+25,16800.0,81.8563,81.8563,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,112,166,0.000782804,9.7393e-06,230000000000.0,0.586026,0.599276,4.5517e+40,0.586026,-0.00844317,-0.000385508,-0.00436195,1.44225,-0.744328
zbfc10oznq.h5,-0.5269827661636679,10.64855857640557,3584114.595476579,112454564321.76021,0.3087607353583879,8969194805.819584,-1.278778552994698,-0.6850553718079893,0.6456275212649824,1.0,44.37984517972441,0.9222188018714874,15.094541792802133,1.84988,300.0,"0.000000e+00,6.907755e+00,5.915866e-02,0.000000e+00",5.18394e+25,16800.0,30.3535,30.3535,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,118,185,0.000400933,9.98934e-06,230000000000.0,0.601071,0.602395,4.66856e+40,0.601071,0.000159389,0.000384323,-0.0453043,0.0692204,-7.53727
azhct4iuue.h5,0.5766207353317097,26.736556438035425,2586095.7204089034,156967222545.5425,0.6188905421187196,5553756095.330858,-1.3585945356179128,-0.7001885079422125,0.2559653405994854,1.0,295.2033542153245,-17.09662581623607,-3.98404329197119,1.81701,300.0,"0.000000e+00,6.907755e+00,1.485364e-01,0.000000e+00",5.18394e+25,16800.0,49.0202,49.0202,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,173,132,0.000628957,9.33472e-06,230000000000.0,0.561681,0.599464,4.36262e+40,0.561681,-0.00854919,0.0140262,-0.0530939,2.92449,-9.45267
gav7xpmtgx.h5,0.18111385543931058,159.32445753926433,523314.0120631756,325588103478.8436,0.4232793715346743,8566358772.5391,-1.189332399187628,-0.8161121975533758,0.06513762186081296,1.0,186.45537928403272,-24.301925432864266,-0.5608960548868751,1.98346,300.0,"0.000000e+00,6.907755e+00,8.851359e-01,0.000000e+00",5.18394e+25,16800.0,31.7808,31.7808,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,225,130,0.000522514,9.42162e-06,230000000000.0,0.56691,0.602466,4.40323e+40,0.56691,0.0262251,-0.0148201,0.00183757,5.31352,0.324138
4inovwcyt0.h5,0.8378379994111862,70.00290364422939,109820.84586821053,895347944794.1813,0.30914411192016816,7894538302.566156,-1.016425496869833,-0.9032996527360401,0.21574890629606902,-1.0,4.707265419045523,3.6051107332853576,23.15125666750049,1.54592,300.0,"0.000000e+00,6.907755e+00,3.889050e-01,0.000000e+00",5.18394e+25,16800.0,34.4854,34.4854,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,126,136,0.00063671,9.78127e-06,230000000000.0,0.588551,0.593093,4.57132e+40,0.588551,0.128057,-0.039178,-0.00183216,22.7535,-0.3113
ey6t84fggm.h5,0.906585418653608,69.26452471316477,111791.07750429472,657393257619.8202,0.38622104589160866,8424208331.104361,-1.0497502283299507,-0.974636927772507,0.26019921653213385,1.0,201.83674702835071,31.043275667062623,-17.50086275507755,1.42202,300.0,"0.000000e+00,6.907755e+00,3.848029e-01,0.000000e+00",5.18394e+25,16800.0,32.3171,32.3171,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,157,170,0.00187683,9.71677e-06,230000000000.0,0.58467,0.600782,4.54118e+40,0.58467,0.0141774,-0.0833466,0.00684055,14.4601,1.16999
